"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3000171","Non-integrin membrane-ECM interactions","23/743","59/10616",2.53079932659888e-12,1.50967852505011e-09,1.37592393583326e-09,"COL4A6/LAMC1/COL5A2/COL4A2/NRXN1/DMD/FN1/ITGB5/COL2A1/PRKCA/TGFB1/TNC/LAMC2/COL1A2/COL11A1/PDGFA/DDR2/COL4A5/SDC1/COL4A1/SDC2/ITGB1/COL5A1",23
"R-HSA-1474244","Extracellular matrix organization","57/743","301/10616",2.70067714678017e-12,1.50967852505011e-09,1.37592393583326e-09,"LUM/COL4A6/FBN2/CAPN6/LAMC1/SPP1/HAPLN1/EFEMP2/NID2/MFAP5/P4HA2/VCAM1/PCOLCE2/CDH1/COL5A2/NCAN/COL4A2/NRXN1/FBN1/DMD/FN1/ITGB5/ADAM12/ADAMTS9/COL2A1/ADAMTS18/COL26A1/TLL2/SERPINH1/TGFB2/PRKCA/TGFB1/TNC/LAMC2/COL8A1/CASP3/COL1A2/COL7A1/SCUBE3/CRTAP/BGN/TNR/COL11A1/PDGFA/CTSK/DDR2/NID1/ITGB8/LOXL2/COL4A5/SDC1/COL4A1/SDC2/ITGB1/A2M/COLGALT2/COL5A1",57
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","71/743","473/10616",4.64472384774152e-10,1.73093375392501e-07,1.57757638056624e-07,"FGFR2/ANOS1/DUSP6/SPRY2/SPRY1/VEGFA/FGF8/LYN/LAMC1/KITLG/PRKCB/SPP1/IRS4/SPRED2/VEGFC/NTRK2/ERBB4/COL5A2/COL4A2/TIAM1/AXL/PAG1/FN1/ADAM12/CAV1/ESRP1/COL2A1/ADCYAP1R1/SHC2/BAIAP2/MET/PRKCA/CYFIP2/SHB/STMN1/LAMC2/PCSK5/IRS1/SPHK1/ARHGEF7/CDC42/COL1A2/FLRT3/CXCL12/CDK5R1/KIT/TNS3/ATP6V0E2/TGFA/SHC3/COL11A1/GABRB2/PDGFA/GALNT3/PTPN18/ERBB3/BTC/COL4A5/DNM3/LRIG1/PDGFRA/COL4A1/ADCYAP1/VAV3/NTRK1/ITGB1/BDNF/RPS6KA5/TRIB3/COL5A1/CYBA",71
"R-HSA-3000178","ECM proteoglycans","20/743","76/10616",1.59833958740309e-07,4.46735914679163e-05,4.07155979106891e-05,"LUM/COL4A6/LAMC1/HAPLN1/COL5A2/NCAN/COL4A2/FN1/ITGB5/COL2A1/TGFB2/TGFB1/TNC/COL1A2/BGN/TNR/COL4A5/COL4A1/ITGB1/COL5A1",20
"R-HSA-1474228","Degradation of the extracellular matrix","28/743","140/10616",3.3439024171866e-07,7.19669238424329e-05,6.55907939737078e-05,"COL4A6/FBN2/CAPN6/LAMC1/SPP1/CDH1/COL5A2/COL4A2/FBN1/FN1/ADAMTS9/COL2A1/ADAMTS18/COL26A1/TLL2/LAMC2/COL8A1/CASP3/COL1A2/COL7A1/SCUBE3/COL11A1/CTSK/NID1/COL4A5/COL4A1/A2M/COL5A1",28
"R-HSA-6794362","Protein-protein interactions at synapses","21/743","87/10616",3.8622678269642e-07,7.19669238424329e-05,6.55907939737078e-05,"PPFIA4/EPB41L1/SLITRK1/LRRTM4/NRXN1/NRXN3/SHANK2/SYT12/NRXN2/STXBP1/PTPRD/PPFIA2/HOMER2/PPFIBP2/BEGAIN/GRIA3/GRIA1/LIN7B/SIPA1L1/SLITRK6/SLITRK4",21
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","18/743","67/10616",4.74996814611446e-07,7.58637769622282e-05,6.91423934652451e-05,"COL4A6/P4HA2/PCOLCE2/COL5A2/COL4A2/COL2A1/COL26A1/TLL2/SERPINH1/COL8A1/COL1A2/COL7A1/CRTAP/COL11A1/COL4A5/COL4A1/COLGALT2/COL5A1",18
"R-HSA-3000170","Syndecan interactions","11/743","27/10616",8.46665625871854e-07,0.000118321521215592,0.000107838463926836,"COL5A2/FN1/ITGB5/PRKCA/TGFB1/TNC/COL1A2/SDC1/SDC2/ITGB1/COL5A1",11
"R-HSA-112316","Neuronal System","56/743","413/10616",1.10898973446369e-06,0.000126201026694327,0.000115019860502879,"PPFIA4/PRKCB/CHRNA3/SLC32A1/SLC1A3/SLC6A1/EPB41L1/ERBB4/SLITRK1/KCNMA1/LRRTM4/GAD1/SLC1A1/NRXN1/KCNA2/GRIK3/NRXN3/GNG3/LRRC7/ADCY2/ADCY6/MAPT/SHANK2/SYT12/NRXN2/TSPAN7/STXBP1/NCALD/GNG12/TUBB3/SNAP25/NEFL/PRKCA/PTPRD/GRIA2/PPFIA2/HOMER2/KCND3/ARHGEF7/SLC38A1/KCNAB1/KCNK3/PPFIBP2/KCNA5/GABRB2/BEGAIN/GRIA3/KCNJ10/KCNN3/GRIA1/HCN3/LIN7B/SIPA1L1/KCNMB4/SLITRK6/SLITRK4",56
"R-HSA-216083","Integrin cell surface interactions","20/743","85/10616",1.12881061443942e-06,0.000126201026694327,0.000115019860502879,"LUM/COL4A6/SPP1/VCAM1/CDH1/COL5A2/COL4A2/FBN1/FN1/ITGB5/COL2A1/TNC/COL8A1/COL1A2/COL7A1/ITGB8/COL4A5/COL4A1/ITGB1/COL5A1",20
"R-HSA-2214320","Anchoring fibril formation","8/743","15/10616",2.29455149787132e-06,0.000233209870420012,0.000212547928223869,"COL4A6/COL4A2/TLL2/LAMC2/COL1A2/COL7A1/COL4A5/COL4A1",8
"R-HSA-1474290","Collagen formation","20/743","90/10616",2.93667178992272e-06,0.000273599921761134,0.000249359499354842,"COL4A6/P4HA2/PCOLCE2/COL5A2/COL4A2/COL2A1/COL26A1/TLL2/SERPINH1/LAMC2/COL8A1/COL1A2/COL7A1/CRTAP/COL11A1/LOXL2/COL4A5/COL4A1/COLGALT2/COL5A1",20
