"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","Extracellular matrix organization","41/290","301/10616",6.95009314084962e-18,5.4627732087078e-15,5.23817546194561e-15,"SPP1/LUM/LTBP2/COL8A1/COL12A1/COL4A1/COL5A1/TNC/MMP2/LOXL2/CD44/HAPLN1/TGFB2/ADAM12/FN1/A2M/ADAM19/LOX/LAMB1/DDR2/COL18A1/LAMC2/SERPINE1/ITGB5/ACTN1/ADAMTS1/ITGB1/COL9A2/LRP4/ITGAV/NRXN1/CTSK/ICAM3/CAPN6/COL1A1/SPARC/MFAP5/ADAMTS5/COL1A2/COL9A3/COL11A1",41
"R-HSA-3000178","ECM proteoglycans","18/290","76/10616",1.27595018881832e-12,5.01448424205601e-10,4.80831755365221e-10,"LUM/COL4A1/COL5A1/TNC/HAPLN1/TGFB2/FN1/LAMB1/SERPINE1/ITGB5/ITGB1/COL9A2/LRP4/ITGAV/COL1A1/SPARC/COL1A2/COL9A3",18
"R-HSA-3000171","Non-integrin membrane-ECM interactions","15/290","59/10616",3.32287817292416e-11,8.7059408130613e-09,8.34800270811825e-09,"COL4A1/COL5A1/TNC/FN1/LAMB1/DDR2/LAMC2/ITGB5/ACTN1/ITGB1/ITGAV/NRXN1/COL1A1/COL1A2/COL11A1",15
"R-HSA-216083","Integrin cell surface interactions","17/290","85/10616",9.86652937566947e-11,1.93877302231905e-08,1.85906185078404e-08,"SPP1/LUM/COL8A1/COL4A1/COL5A1/TNC/CD44/FN1/COL18A1/ITGB5/ITGB1/COL9A2/ITGAV/ICAM3/COL1A1/COL1A2/COL9A3",17
"R-HSA-1474228","Degradation of the extracellular matrix","21/290","140/10616",1.80158983714342e-10,2.83209922398945e-08,2.71565962819934e-08,"SPP1/COL8A1/COL12A1/COL4A1/COL5A1/MMP2/CD44/FN1/A2M/LAMB1/COL18A1/LAMC2/ADAMTS1/COL9A2/CTSK/CAPN6/COL1A1/ADAMTS5/COL1A2/COL9A3/COL11A1",21
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","13/290","61/10616",7.31634791922822e-09,9.58441577418896e-07,9.19035984239895e-07,"COL8A1/COL12A1/COL4A1/COL5A1/LOXL2/LOX/COL18A1/LAMC2/COL9A2/COL1A1/COL1A2/COL9A3/COL11A1",13
"R-HSA-3000170","Syndecan interactions","9/290","27/10616",2.27753604291908e-08,2.55734761390628e-06,2.4522042206467e-06,"COL5A1/TNC/FN1/ITGB5/ACTN1/ITGB1/ITGAV/COL1A1/COL1A2",9
"R-HSA-1442490","Collagen degradation","12/290","64/10616",1.27044906044928e-07,1.24821620189142e-05,1.19689674642327e-05,"COL8A1/COL12A1/COL4A1/COL5A1/MMP2/COL18A1/COL9A2/CTSK/COL1A1/COL1A2/COL9A3/COL11A1",12
"R-HSA-8948216","Collagen chain trimerization","10/290","44/10616",2.16172214085762e-07,1.88790400301566e-05,1.81028427234393e-05,"COL8A1/COL12A1/COL4A1/COL5A1/COL18A1/COL9A2/COL1A1/COL1A2/COL9A3/COL11A1",10
"R-HSA-1474290","Collagen formation","13/290","90/10616",9.0046439159856e-07,6.97935564868099e-05,6.69240477361134e-05,"COL8A1/COL12A1/COL4A1/COL5A1/LOXL2/LOX/COL18A1/LAMC2/COL9A2/COL1A1/COL1A2/COL9A3/COL11A1",13
"R-HSA-8874081","MET activates PTK2 signaling","8/290","30/10616",9.76754607321767e-07,6.97935564868099e-05,6.69240477361134e-05,"COL5A1/FN1/LAMB1/LAMC2/ITGB1/COL1A1/COL1A2/COL11A1",8
"R-HSA-1566948","Elastic fibre formation","9/290","45/10616",2.79474081231195e-06,0.000183055523206433,0.000175529335229417,"LTBP2/LOXL2/TGFB2/FN1/LOX/ITGB5/ITGB1/ITGAV/MFAP5",9
"R-HSA-8875878","MET promotes cell motility","8/290","41/10616",1.22780539914967e-05,0.000696191833897535,0.000667568438557165,"COL5A1/FN1/LAMB1/LAMC2/ITGB1/COL1A1/COL1A2/COL11A1",8
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","10/290","67/10616",1.24003634536457e-05,0.000696191833897535,0.000667568438557165,"COL8A1/COL12A1/COL4A1/COL5A1/COL18A1/COL9A2/COL1A1/COL1A2/COL9A3/COL11A1",10
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","30/290","473/10616",1.45031006590954e-05,0.000759962474536599,0.000728717198028934,"SPP1/PAG1/HBEGF/COL4A1/COL5A1/PDGFRA/BDNF/PDGFC/ADAM12/FN1/AXL/LAMB1/SH3GL2/LAMC2/FGF8/ITGB1/MEF2C/COL9A2/ITGAV/CAV1/TGFA/COL1A1/SPARC/SHC1/SHB/FLT1/COL1A2/COL9A3/FGF19/COL11A1",30
"R-HSA-6806834","Signaling by MET","10/290","79/10616",5.39658359575857e-05,0.0026510716914164,0.00254207490431785,"COL5A1/FN1/LAMB1/SH3GL2/LAMC2/ITGB1/COL1A1/SHC1/COL1A2/COL11A1",10
"R-HSA-2129379","Molecules associated with elastic fibres","7/290","38/10616",6.43934588869874e-05,0.00297725051089247,0.00285484313084105,"LTBP2/TGFB2/FN1/ITGB5/ITGB1/ITGAV/MFAP5",7
"R-HSA-2243919","Crosslinking of collagen fibrils","5/290","18/10616",9.3987809937299e-05,0.00410413436726205,0.00393539601842726,"COL4A1/LOXL2/LOX/COL1A1/COL1A2",5
"R-HSA-3000157","Laminin interactions","6/290","30/10616",0.000134747360200783,0.00557428553251659,0.00534510304175958,"COL4A1/LAMB1/COL18A1/LAMC2/ITGB1/ITGAV",6
"R-HSA-9009391","Extra-nuclear estrogen signaling","9/290","77/10616",0.000236845837578103,0.00930804141681944,0.00892534840557482,"S1PR3/HBEGF/MMP2/CAV2/GNG12/CAV1/TGFA/SHC1/GNG2",9
"R-HSA-76002","Platelet activation, signaling and aggregation","18/290","262/10616",0.000303880634225867,0.0113738180238824,0.0109061921857504,"PCDH7/TGFB2/FN1/A2M/RARRES2/SERPINE1/ACTN1/TAGLN2/GNG12/PLA2G4A/WDR1/RASGRP1/COL1A1/SPARC/SHC1/COL1A2/PDPN/GNG2",18
"R-HSA-75205","Dissolution of Fibrin Clot","4/290","13/10616",0.000320905436532598,0.0114650760506646,0.0109936982084852,"S100A10/SERPINB6/SERPINE1/ANXA2",4
"R-HSA-2214320","Anchoring fibril formation","4/290","15/10616",0.000586716110099549,0.0200503853277498,0.019226029054063,"COL4A1/LAMC2/COL1A1/COL1A2",4
"R-HSA-419037","NCAM1 interactions","6/290","42/10616",0.000904360732461681,0.0296178139881201,0.0284001001948493,"COL4A1/COL5A1/GFRA2/CACNB2/COL9A2/COL9A3",6
"R-HSA-186797","Signaling by PDGF","7/290","58/10616",0.000962771481976224,0.0302695353933325,0.0290250265724201,"SPP1/COL4A1/COL5A1/PDGFRA/PDGFC/COL9A2/COL9A3",7
"R-HSA-8986944","Transcriptional Regulation by MECP2","7/290","62/10616",0.00143526631166834,0.0433892046527428,0.0416052906540296,"SGK1/BDNF/MEF2C/RBFOX1/AGO3/SLC2A3/GRIN2A",7
"R-HSA-3000480","Scavenging by Class A Receptors","4/290","19/10616",0.00152837538564098,0.0444927056708819,0.042663422070914,"COLEC12/COL4A1/COL1A1/COL1A2",4
