"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","Extracellular matrix organization","132/2496","301/10616",2.48353664965071e-15,3.43969825976623e-12,2.99070097600043e-12,"COL2A1/COL11A1/VCAM1/COL8A1/COL5A2/LUM/FBN2/COL4A6/HAPLN1/COL5A1/SCUBE3/FN1/CD47/TGFB2/CAPN6/COL4A2/TNC/COL12A1/ADAMTS9/FBN1/JAM2/NCAN/COL1A2/NCAM1/CAPN2/DMD/ITGAV/LTBP1/EFEMP1/SPP1/COL4A1/ITGB5/ADAMTS1/SPARC/F11R/LOX/MFAP5/ADAM12/FBLN1/BMP7/COLGALT2/CDH1/TIMP2/COL7A1/MMP2/ITGB8/COL13A1/PDGFA/NTN4/LRP4/SERPINE1/SDC1/COL4A5/NRXN1/LOXL1/ITGA2/ADAMTS18/LTBP2/THBS1/ADAM19/LOXL2/COL9A1/ADAMTS5/CAST/EFEMP2/CD44/LAMC1/CTSV/LOXL3/MMP24/ADAM9/MMP7/NID1/SDC2/BGN/DDR2/MATN3/COL1A1/A2M/JAM3/COL22A1/ITGB1/COL3A1/MMP16/CTSK/P3H1/ADAM17/CASK/COL9A2/LAMA1/LOXL4/EMILIN3/PRKCA/COL15A1/COL9A3/SDC3/COL26A1/PCOLCE/ICAM1/PSEN1/PHYKPL/COLGALT1/HSPG2/LAMB1/COL25A1/ITGAE/ICAM3/CRTAP/CASP3/TGFB1/FMOD/TLL2/ITGA5/PCOLCE2/ITGA8/ITGA4/COL18A1/P3H2/PDGFB/MMP9/MMP14/ADAMTS2/ADAMTS8/DST/LAMA5/COL16A1/SERPINH1/COL27A1/FBLN2/ITGA9/EMILIN2/P4HA2",132
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","177/2496","473/10616",2.76821416020616e-12,1.91698830594277e-09,1.66675631540834e-09,"COL2A1/COL11A1/PDGFC/COL5A2/FLRT3/DUSP4/FGF8/FGFBP3/CXCL12/COL5A1/GABRB3/FN1/ESRP1/COL4A2/HBEGF/AKT3/KITLG/FGFR2/COL1A2/ITGAV/RPS6KA2/PCSK5/CAV1/SPP1/IRS4/COL4A1/SPHK1/MEF2C/CYFIP2/SPARC/APOE/FGF18/PRKCB/ERBB3/PAG1/SHC3/SPRED1/ADAM12/RPS6KA3/PIK3R3/ERBB4/FGF9/PAK2/PIK3R1/WASF3/SPRY2/THBS3/SPINT2/FYN/RALGDS/PDGFA/PAK3/SPRED2/COL4A5/FLT1/ITGA2/SH3GL2/WASF1/THBS1/COL9A1/SPRY1/ROCK2/LAMC1/DOCK7/CDC42/SPINT1/VEGFA/ADCYAP1R1/TIAM1/CYFIP1/DUSP6/PDE3B/GALNT3/COL1A1/WWOX/RALB/ABI2/ATP6V0E2/GRB2/GRB10/CUL5/VEGFC/ITGB1/GAB2/NRG1/MAPK13/COL3A1/EGF/PLAT/PRKCE/RAP1A/ADAM17/MAPK11/ITPR3/ADCYAP1/IRS1/NRP1/THEM4/KIDINS220/ATP6V0A2/NEDD4/ANOS1/COL9A2/TNS3/EGFR/AXL/ARHGEF7/LAMA1/GAB1/PTPN18/PRKCA/SOCS6/CSK/COL9A3/BTC/LYN/TRIB3/AKT1/VAV3/CYBA/PSEN1/SHC2/CDK5R1/GABRB2/KIT/PTPRO/RIT1/CREB1/STAM2/MAPK12/FRS2/PIK3C3/PTPRJ/LAMB1/PDGFRB/STAT6/NTRK2/PIK3CA/GABRG2/PDGFRA/LRIG1/BAIAP2/SHC1/DUSP3/MET/DNAL4/STMN1/GABRG3/DOCK3/APH1B/EPS15/PIK3CB/PTPRK/VRK3/THBS4/FGF19/PDGFB/MMP9/NRG3/SH2D2A/TCIRG1/JAK2/NTRK3/PPP2R1B/ITPR1/SH2B3/SHB/LAMA5/WASF2/SOS1/PRKACB/COL27A1/ITPR2/BDNF/DLG4/ATP6V1G2/DNM3",177
"R-HSA-3000171","Non-integrin membrane-ECM interactions","35/2496","59/10616",3.83855674324901e-09,1.77213369646662e-06,1.5408101453603e-06,"COL2A1/COL11A1/COL5A2/COL4A6/COL5A1/FN1/COL4A2/TNC/COL1A2/DMD/ITGAV/COL4A1/ITGB5/PDGFA/NTN4/SDC1/COL4A5/NRXN1/ITGA2/THBS1/LAMC1/SDC2/DDR2/COL1A1/ITGB1/COL3A1/CASK/LAMA1/PRKCA/SDC3/HSPG2/LAMB1/TGFB1/PDGFB/LAMA5",35
"R-HSA-216083","Integrin cell surface interactions","44/2496","85/10616",1.37849541626087e-08,4.77304037880326e-06,4.14999672684851e-06,"COL2A1/VCAM1/COL8A1/COL5A2/LUM/COL4A6/COL5A1/FN1/CD47/COL4A2/TNC/FBN1/JAM2/COL1A2/ITGAV/SPP1/COL4A1/ITGB5/F11R/CDH1/COL7A1/ITGB8/COL13A1/COL4A5/ITGA2/THBS1/COL9A1/CD44/COL1A1/JAM3/ITGB1/COL3A1/COL9A2/COL9A3/ICAM1/HSPG2/ITGAE/ICAM3/ITGA5/ITGA8/ITGA4/COL18A1/COL16A1/ITGA9",44
"R-HSA-1474290","Collagen formation","45/2496","90/10616",3.74674126835196e-08,1.03784733133349e-05,9.0237305494624e-06,"COL2A1/COL11A1/COL8A1/COL5A2/COL4A6/COL5A1/COL4A2/COL12A1/COL1A2/COL4A1/LOX/COLGALT2/COL7A1/COL13A1/COL4A5/LOXL1/LOXL2/COL9A1/CTSV/LOXL3/MMP7/COL1A1/COL22A1/COL3A1/P3H1/COL9A2/LOXL4/COL15A1/COL9A3/COL26A1/PCOLCE/COLGALT1/COL25A1/CRTAP/TLL2/PCOLCE2/COL18A1/P3H2/MMP9/ADAMTS2/DST/COL16A1/SERPINH1/COL27A1/P4HA2",45
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","36/2496","67/10616",8.21480662590601e-08,1.89625119614664e-05,1.64872610176079e-05,"COL2A1/COL11A1/COL8A1/COL5A2/COL4A6/COL5A1/COL4A2/COL12A1/COL1A2/COL4A1/COLGALT2/COL7A1/COL13A1/COL4A5/COL9A1/COL1A1/COL22A1/COL3A1/P3H1/COL9A2/COL15A1/COL9A3/COL26A1/PCOLCE/COLGALT1/COL25A1/CRTAP/TLL2/PCOLCE2/COL18A1/P3H2/ADAMTS2/COL16A1/SERPINH1/COL27A1/P4HA2",36
"R-HSA-399956","CRMPs in Sema3A signaling","14/2496","16/10616",1.12464139131137e-07,2.16887122984559e-05,1.8857599748762e-05,"DPYSL4/DPYSL3/FYN/PLXNA1/DPYSL5/GSK3B/PLXNA2/NRP1/CRMP1/SEMA3A/CDK5R1/PLXNA3/DPYSL2/PLXNA4",14
"R-HSA-112316","Neuronal System","143/2496","413/10616",1.25277760568698e-07,2.16887122984559e-05,1.8857599748762e-05,"NCALD/GNG11/GABRB3/GNG2/APBA2/NLGN1/SLC1A2/GLRB/RPS6KA2/PRKCB/RPS6KA3/GRIA1/SHANK2/ERBB4/PRKAA2/EPB41L5/GNG4/ALDH5A1/BEGAIN/KCNC1/NRXN1/CAMK2D/SLC1A3/PRKX/ADCY6/GRIP1/ADCY2/HOMER3/CHRNA3/PPM1E/SYT1/LIN7A/GJC1/SNAP25/NRXN3/TUBA1A/CACNA2D3/GNG12/BCHE/NRG1/KCNQ3/CAMK4/SLC1A1/NRXN2/COMT/ABAT/PTPRD/SLC1A6/CASK/TUBB6/LRRTM4/GNG8/SLITRK6/ARHGEF7/HOMER2/SIPA1L1/TUBB3/SLITRK5/PRKCA/KCNJ2/CACNB3/GRIA2/ARHGEF9/GNB1/PPFIA4/TSPOAP1/GABRB2/KCNJ4/KCNK10/ARL6IP5/RIMS1/GRIA3/CACNA1B/DLGAP4/CREB1/PLCB1/KCNK6/SHANK3/GABBR1/GNAI1/GABRA3/KCNMB4/MAOA/GABRG2/CHRNA9/STXBP1/DLG2/GRIK3/PRKAR1A/HCN4/GAD1/SLC38A1/TUBB4A/IL1RAPL1/HCN3/TUBB2A/KCNQ2/GABRG3/KCNB2/KCNK2/SLITRK4/KCNH8/GABBR2/CACNG4/GRIN2A/SYT9/CACNB2/TUBB4B/TUBB2B/LRFN3/GNAL/GNB5/PANX1/EPB41L3/EPB41L1/KCNAB1/LIN7B/NTRK3/KCNN3/PPFIA2/MAPT/PRKAA1/EPB41L2/KCNQ4/SYT12/TSPAN7/PPFIBP2/RAB3A/GRIK1/KCNB1/KCNH2/PRKACB/SYN1/GAD2/GLS/SLITRK1/CAMK2B/APBA1/DLG4/KCNJ8/SLC6A1/ABCC8/KCNA2",143
"R-HSA-2022928","HS-GAG biosynthesis","21/2496","31/10616",2.10466818650006e-07,3.1373414318591e-05,2.72781196887464e-05,"EXT1/GPC6/HS6ST2/SDC1/HS3ST1/HS2ST1/GPC1/SDC2/HS3ST3A1/GPC4/NDST4/SDC3/HSPG2/HS3ST3B1/GPC3/GPC2/HS6ST3/HS3ST2/SLC35D2/HS3ST4/GLCE",21
"R-HSA-1630316","Glycosaminoglycan metabolism","55/2496","124/10616",2.26522847065639e-07,3.1373414318591e-05,2.72781196887464e-05,"LUM/EXT1/NCAN/GPC6/PAPSS2/HGSNAT/HS6ST2/B3GNT2/HAS3/SDC1/XYLT1/HS3ST1/HS2ST1/IDS/GPC1/CD44/CSPG5/DSEL/SDC2/BGN/HS3ST3A1/GNS/CHST9/CHST11/GPC4/CHST3/ST3GAL3/HMMR/B3GALT6/NDST4/SDC3/B4GAT1/CHSY3/CSGALNACT2/B4GALT6/CHST6/HSPG2/HS3ST3B1/GPC3/HPSE2/GPC2/HS6ST3/B3GAT1/FMOD/HS3ST2/HAS2/CHST13/B4GALT1/CSGALNACT1/DSE/SLC35D2/HS3ST4/HEXB/GLCE/ABCC5",55
