"","GSM1371025","GSM1371026","GSM1371027","GSM1371028","GSM1371029","GSM1371030","GSM1371031","GSM1371032","GSM1371033","GSM1371034"
"NAT2",6.25398371958677,6.45656334298382,6.14730037685513,6.34401268139146,7.17970699282244,6.89092924566685,5.9373371440058,5.75022182670592,5.74716359731681,5.68874964685226
"CDH2",11.0275077578346,11.0562954396179,10.9888857363701,10.986715187632,7.60261449929252,7.50254752215839,11.1210684890533,11.2056764049213,11.0577905007298,11.0253542863183
"AKT3",10.0659351807523,10.1218109459268,10.147039951698,10.151508186639,7.89864951007289,7.82452287503052,10.5734035550128,10.5450082922503,10.6259409736887,10.6502069490743
"CDH3",8.65410657423475,8.69260003495858,8.6690464905349,8.71277919075687,11.2315441482431,11.2366624548846,7.36601107781891,7.35113050561718,7.3354926969081,7.37616858431695
"TANK",8.7218325006109,8.58126354030803,8.75344262465983,8.64033149689659,7.4924118924036,7.76676286049937,9.03548049758209,8.60280904141932,9.01891599950501,8.74300535659934
"TMEM170B",9.31545815983895,9.21791916598395,9.33744924798071,9.30378639181478,5.57875858712827,5.60629189117018,9.84341093863518,9.69727982612609,9.86496785290528,9.59950319505359
"C8orf88",7.40880134852157,7.39750041091661,7.57651979016249,7.58347804963632,8.21025498650933,8.32650445184902,6.09535325446776,6.33223012296591,6.24881085244612,6.06877431780152
"LINC01003",9.00419923498683,8.87792169371136,9.1625872624752,9.15269008186353,7.17970699282244,7.58065748174381,9.74756476719142,9.75674324672988,10.3904875079506,10.1730270768315
"LOC100129034",8.76639004913944,8.80197679422365,8.71486261654367,8.84311730204769,6.42036535502735,6.288721947369,8.31597524094912,8.5706711192438,8.6707854403914,8.6357332522032
"ZSCAN16-AS1",8.09894913056122,7.76804990548521,8.02660238320305,8.21948826530132,5.98822318757905,5.70959752799585,7.78377352623252,8.00778624001254,8.16719643237647,8.19426562452328
"LINC02035",8.3745662724926,8.32937058938694,8.46291100991521,8.37522761425818,7.01075845131988,7.05292532888039,8.22172569745747,8.25423020668561,8.0404397744214,8.15268173129025
"HDAC6",9.4735206565241,9.57356957848156,9.61043374203897,9.68598412313071,8.46346792117854,8.56101939126956,9.79140603931933,9.91933125333375,10.0446338264767,10.0415691834408
"MIR124-2HG",7.94704691557604,7.79163645086217,7.76599952405027,7.90013416093648,6.17032358941708,6.44281041218996,9.72565038348015,9.62280539338736,9.8088572568427,9.73135764906754
"LOC100130691",6.83031612746801,6.72898906558838,7.2243417975643,7.12494521604786,5.8273159421878,5.71690784404495,6.82351820072156,6.66015599532835,6.93620812068386,6.82248587133247
"ATP6V1FNB",5.43239565481996,5.67185472275514,5.81410656926855,5.49718000564848,4.71446709972336,4.61147560056608,6.73370011967565,6.92386806903517,6.66225194595096,6.71665247964492
"SYCE1L",7.43060311915777,7.5277645477935,7.54514687115418,7.64009588814912,6.71808332730829,6.44687888372165,7.65323253178237,7.75207587449621,7.92577470232819,7.82952336345216
"C6orf99",4.25500336834248,4.28127402339902,4.56031220245361,4.35513455030174,5.89281680549763,5.50764317850838,4.51193444297514,5.11736578494922,4.48072826347915,4.57998511390275
"LINC01405",4.5630078917449,4.85797394110578,4.62093699765836,4.67762110709508,8.03631825314448,8.44688557591028,3.89585592790666,3.91129107071741,4.39291528241502,4.05767878534663
"ARMCX4",6.59727866975194,6.53238805658415,6.53254966775152,6.58802668697565,5.48455784518293,5.46445940337978,6.67859984803036,6.85088178444477,6.94911251342134,7.04850485169628
"LOC100133315",6.95323295854481,7.00660271750018,7.16570787129695,7.25803011439372,7.98425750298372,7.90495634043148,5.90577870302867,6.02812294760745,5.79916665266494,5.9426731245214
"BCL2L11",4.13023376631058,3.99494533310153,4.34920963340903,4.82297081646902,4.86749318125897,4.91468819772442,3.84285520438806,3.60344841295824,3.4408232911672,3.70876917321338
"SH2B3",7.38377481890029,7.20039053968461,7.2018168897573,7.07766695664169,7.68929543946718,7.60875122655831,6.47863711525663,6.50465188266838,6.3771389290644,6.2706689651178
"TPT1-AS1",7.37002038671958,7.32432190018969,7.7249042968113,7.66670659996791,6.13921319216356,6.36126320650512,7.00178893124956,7.07739818480503,7.04057434514632,7.02983336698633
"LOC100190986",7.19340190921891,7.08348426348594,7.5186900486469,7.38744540577179,7.82826075672488,7.89766203064595,6.39368543425827,6.59681268197235,6.19286538455521,6.32291261142445
"ZFHX4-AS1",7.47376714622234,7.50156335926366,7.25292170856188,7.29505107338093,3.05497263698588,3.32230551677086,8.28215782389956,8.24338662464822,8.24297106776218,8.14075617638883
"CDH4",8.61463509207531,8.72156459669167,8.73638531032243,8.87430213522805,7.73660277413265,7.78199973850348,9.12560503631204,9.27221051301737,9.26972027277015,9.2466984335849
"GNE",10.2386786919118,10.2700379423411,10.3633820434246,10.3570913986654,8.532507261177,8.50263761449263,9.98894300154686,10.0289091387407,10.0611601924096,10.0585329621965
