"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",0.000807320798611677,7.60301747089867,0.00858366934055304,0.993361679259363,0.997713323413824,-7.13690895341188
"2","1552296_at","BEST4","266675","bestrophin 4",-0.241000718661202,6.56852053269961,-2.28121287701091,0.0520006789931184,0.171038183252812,-4.90042912492588
"3","1552299_at","AK9","221264","adenylate kinase 9",0.142989094956308,6.07264214734996,1.0024740613882,0.345493557191375,0.55217664843894,-6.60792688407172
"4","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",0.0708219861622021,5.76816342752231,0.840365283829479,0.425126225402411,0.621950450502404,-6.75870857282651
"5","1552321_a_at","CCDC65","85478","coiled-coil domain containing 65",-0.0289141382407365,5.52811719323451,-0.133826879452319,0.896847677532837,0.948894387856946,-7.12694870199167
"6","1552323_s_at","FAM122C","159091","family with sequence similarity 122C",0.174116018110087,6.15131057147875,2.02066660975725,0.078009062389178,0.217751915158281,-5.29562967034263
"7","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-0.0250919858870917,5.93807968185735,-0.10282000598291,0.920638669434182,0.963146216128229,-7.13104362751894
"8","1552327_at","ARMCX4","100131755","armadillo repeat containing X-linked 4",0.234067866321245,6.47263593272187,3.25678972956838,0.0115966126029942,0.067079488497136,-3.37613190517309
"9","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",0.182045833121972,8.5168147404975,2.52352007203161,0.0356372105374661,0.135174858572483,-4.52432459683221
"10","1552347_at","CRYZL1","9946","crystallin zeta like 1",0.003491945061187,8.33039286183559,0.0527953351840099,0.959190631044502,0.980575099916592,-7.13539210003712
"11","1552348_at","PRSS33","260429","serine protease 33",-0.154148126480317,8.46983312168272,-1.66824301777964,0.133855292446754,0.308717921857076,-5.80327448279015
"12","1552365_at","SCIN","85477","scinderin",0.261680081040223,3.15456225150698,1.44569991112532,0.186303625809067,0.377270723276708,-6.09974111526635
"13","1552375_at","ZNF333","84449","zinc finger protein 333",0.138407066159325,6.10864146814809,1.27125035340848,0.239383914634645,0.442776848337789,-6.31458586477836
"14","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",0.189521166074195,6.04875069573315,1.85742564285226,0.100358952627367,0.255598796568691,-5.53555179354077
"15","1552426_a_at","TM2D3","80213","TM2 domain containing 3",0.127163055626577,10.4573628556227,1.45322723289164,0.184265140146893,0.374771518911665,-6.09009651297022
"16","1552477_a_at","IRF6","3664","interferon regulatory factor 6",-0.151074084892332,4.60759956136213,-1.10794397085179,0.300109213604934,0.510187344084518,-6.49882419380658
"17","1552485_at","LACTB","114294","lactamase beta",0.0163671568603618,7.44840943213475,0.158265649756589,0.878172933287341,0.938314599626443,-7.12296861833788
"18","1552496_a_at","COBL","23242","cordon-bleu WH2 repeat protein",0.358967689742044,4.98798889678736,3.91342810184639,0.00446712195655505,0.0355958343583944,-2.37775341770031
"19","1552506_at","CRB2","286204","crumbs cell polarity complex component 2",0.225766175319757,6.51613030054287,1.40772238830281,0.196894282142782,0.390690306502042,-6.14795087111674
"20","1552521_a_at","TMEM74","157753","transmembrane protein 74",-0.445321384259662,7.40914159857243,-3.40910816634171,0.00924741515598299,0.057994907597161,-3.14064727161164
"21","1552546_a_at","LETM2","137994","leucine zipper and EF-hand containing transmembrane protein 2",0.156400558404768,4.48345118197293,0.982919302738094,0.354459801418453,0.562585034095242,-6.62723486990854
"22","1552575_a_at","C6orf141","135398","chromosome 6 open reading frame 141",-0.35679004843083,7.85168753845507,-4.76415262755555,0.00142266335752349,0.0173750943713039,-1.16591160872623
"23","1552578_a_at","MYO3B","140469","myosin IIIB",-0.0753098103955563,4.15958414196312,-0.437834445743118,0.673096864286909,0.814115290286187,-7.03105009523281
"24","1552611_a_at","JAK1","3716","Janus kinase 1",-0.306735843226186,7.42659349603963,-3.64581022348037,0.00654361955425557,0.0460977891503702,-2.77903204892712
"25","1552619_a_at","ANLN","54443","anillin actin binding protein",0.01711078592629,8.45682595191179,0.181723630933915,0.860323531919346,0.927503642310611,-7.1185260264996
"26","1552698_at","TUBA3FP","113691","tubulin alpha 3f pseudogene",-0.00697408058711702,7.45314769795589,-0.061754349564039,0.952274733130143,0.977865177912956,-7.13481859292469
"27","1552716_at","SPEF2","79925","sperm flagellar 2",-0.0161755707209164,6.72128686630256,-0.15286782990849,0.882291113461497,0.940662941513377,-7.12390468915412
"28","1552733_at","KLHDC1","122773","kelch domain containing 1",0.340413206153911,4.41789872570592,2.8498865521764,0.0215020603831012,0.0980618377688629,-4.01234245820936
"29","1552742_at","KCNH8","131096","potassium voltage-gated channel subfamily H member 8",-0.0242053378055234,6.89451194608678,-0.231944908564833,0.822408893161937,0.90305485840269,-7.10697451997144
"30","1552754_a_at","CADM2","253559","cell adhesion molecule 2",0.499807087288516,6.57665415866724,9.23334695365328,1.5435513480859e-05,0.00101112636360328,3.62175350784346
