"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",0.0570675954832884,7.60301747089867,0.606759259183418,0.560845582844388,0.773835424158238,-6.45833167051137
"2","1552296_at","BEST4","266675","bestrophin 4",0.209325333328017,6.56852053269961,1.98138681297362,0.0829021536647455,0.321517154859595,-4.89641668793127
"3","1552299_at","AK9","221264","adenylate kinase 9",0.0855569202871793,6.07264214734996,0.599826115315738,0.565234575667754,0.775878669224185,-6.46275668779774
"4","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",-0.0469121287068957,5.76816342752231,-0.55665375248761,0.593002908117448,0.793217543442185,-6.48926089477101
"5","1552321_a_at","CCDC65","85478","coiled-coil domain containing 65",0.136964248019061,5.52811719323451,0.633928556207163,0.543838217784555,0.763249852672592,-6.44054650810332
"6","1552323_s_at","FAM122C","159091","family with sequence similarity 122C",0.399428436371798,6.15131057147875,4.63548220964789,0.00167992769146805,0.0507398519506878,-0.98008946798847
"7","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-0.32123881171892,5.93807968185735,-1.31634764547966,0.224549852473317,0.505187090042556,-5.79092584095396
"8","1552327_at","ARMCX4","100131755","armadillo repeat containing X-linked 4",-0.0045451858044645,6.47263593272187,-0.0632411218148332,0.951127420950549,0.980652384107545,-6.65525158057518
"9","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",0.0730922532615299,8.5168147404975,1.01320510913263,0.340647132337446,0.616735152731543,-6.12347067252747
"10","1552347_at","CRYZL1","9946","crystallin zeta like 1",0.0498496719939059,8.33039286183559,0.753686010408363,0.472652923604268,0.715289932991277,-6.35391736495843
"11","1552348_at","PRSS33","260429","serine protease 33",0.174022085827483,8.46983312168272,1.88332570917244,0.0964433525573975,0.351488634609475,-5.03829034493525
"12","1552365_at","SCIN","85477","scinderin",0.0898404488707274,3.15456225150698,0.496340143397865,0.63301447026416,0.819960192093586,-6.52321018791937
"13","1552375_at","ZNF333","84449","zinc finger protein 333",0.160726880077837,6.10864146814809,1.47625485295663,0.178151047859324,0.455445456362104,-5.59311493872451
"14","1552422_at","C10orf25","220979","chromosome 10 open reading frame 25",-0.0253299320629798,6.04875069573315,-0.248249133962512,0.810200651287796,0.910370257316918,-6.62348910165966
"15","1552426_a_at","TM2D3","80213","TM2 domain containing 3",0.0836823452923525,10.4573628556227,0.956326996798529,0.366933276420619,0.638332483561861,-6.1786499914096
"16","1552477_a_at","IRF6","3664","interferon regulatory factor 6",0.15020194917629,4.60759956136213,1.10154792013904,0.302720235159995,0.585027151780465,-6.03298128025786
"17","1552485_at","LACTB","114294","lactamase beta",-0.0425310714993019,7.44840943213475,-0.411263099822957,0.691685506763979,0.853439749539509,-6.56484640478683
"18","1552496_a_at","COBL","23242","cordon-bleu WH2 repeat protein",0.297927092692041,4.98798889678736,3.24796991528753,0.0117506315914194,0.129128944982832,-2.96865446798897
"19","1552506_at","CRB2","286204","crumbs cell polarity complex component 2",0.0790088559450757,6.51613030054287,0.492644813735042,0.635510210480193,0.82171584251784,-6.52517186117954
"20","1552521_a_at","TMEM74","157753","transmembrane protein 74",0.184458595689973,7.40914159857243,1.41210219662827,0.19564654218548,0.478584461097749,-5.67409855899914
"21","1552546_a_at","LETM2","137994","leucine zipper and EF-hand containing transmembrane protein 2",-0.136019126657839,4.48345118197293,-0.854829589467064,0.417529737649802,0.674629408492118,-6.27074709678432
"22","1552575_a_at","C6orf141","135398","chromosome 6 open reading frame 141",0.243702547635829,7.85168753845507,3.25411579657974,0.0116430812834494,0.129043349628778,-2.95933023337213
"23","1552578_a_at","MYO3B","140469","myosin IIIB",0.789558266458889,4.15958414196312,4.59031571267006,0.00178188785623767,0.0525604815606012,-1.04046522614537
"24","1552611_a_at","JAK1","3716","Janus kinase 1",-0.178872528945882,7.42659349603963,-2.12604855002159,0.0662288709578738,0.293806882244077,-4.68302150808811
"25","1552619_a_at","ANLN","54443","anillin actin binding protein",-0.00760509097816886,8.45682595191179,-0.0807692149319795,0.937611257939145,0.976263739690417,-6.65385545815446
"26","1552698_at","TUBA3FP","113691","tubulin alpha 3f pseudogene",0.034247769314379,7.45314769795589,0.30325842834905,0.769436094056101,0.891592098454499,-6.60686058949174
"27","1552716_at","SPEF2","79925","sperm flagellar 2",0.294388216218381,6.72128686630256,2.7821267354569,0.0238664364465354,0.181298652765549,-3.68225294084635
"28","1552733_at","KLHDC1","122773","kelch domain containing 1",0.043520719330143,4.41789872570592,0.364348710678225,0.725048144428195,0.870314678301224,-6.58460605452224
"29","1552742_at","KCNH8","131096","potassium voltage-gated channel subfamily H member 8",0.353593887766384,6.89451194608678,3.38827338936551,0.00953660520593958,0.116483859294393,-2.75663656203513
"30","1552754_a_at","CADM2","253559","cell adhesion molecule 2",-0.132167517030013,6.57665415866724,-2.44163912793125,0.0404863950791947,0.227409105545053,-4.20572156605026
"31","1552793_at","C8orf31","286122","chromosome 8 open reading frame 31",-0.107950268880053,6.36257627014907,-1.54922492663595,0.159953911190064,0.43611217732037,-5.49857034199629
"32","1552794_a_at","ZNF547","284306","zinc finger protein 547",0.218974402846619,5.770086412842,1.37643254921819,0.206012129925313,0.486907465148816,-5.71820486876745
"33","1552803_a_at","STMN1","3925","stathmin 1",0.0132873950612744,5.98166313928679,0.114689297503284,0.911520120760757,0.965093931384815,-6.65019062510513
"34","1552811_at","WFIKKN1","117166","WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",0.166309386546733,7.37533874979171,2.00787829792932,0.0795705529670662,0.316625544419955,-4.8576767578031
"35","1552848_a_at","PTCHD1","139411","patched domain containing 1",0.0994162886548855,6.96993153762237,1.7211710578584,0.123559061109008,0.394700382668674,-5.26672222527217
"36","1553111_a_at","KBTBD6","89890","kelch repeat and BTB domain containing 6",0.194221115873169,8.68588188146637,3.18814252916755,0.012853873211738,0.133507514329932,-3.05958292647474
"37","1553112_s_at","CDK8","1024","cyclin dependent kinase 8",0.0869284540986177,8.01895986155887,1.47588402718781,0.17824806204033,0.455462626611665,-5.59358895698058
"38","1553122_s_at","RBAK","57786","RB associated KRAB zinc finger",-0.173485090334064,5.48090442874762,-2.42936048823386,0.0412690233062817,0.230224925774152,-4.22449736279427
"39","1553133_at","C9orf72","203228","C9orf72-SMCR8 complex subunit",0.205062747174296,7.51351595768554,2.1337961270738,0.0654350466060868,0.292083517770886,-4.67147498637968
"40","1553158_at","CEP19","84984","centrosomal protein 19",0.00884884297101163,7.38004405164837,0.0972618442954457,0.924913099289778,0.970942327123825,-6.65223204066632
"41","1553172_at","ZNF777","27153","zinc finger protein 777",0.0482196068766818,8.41548578029049,0.631854460852269,0.545125673943224,0.763993859230237,-6.44192907378375
"42","1553180_at","ADAMTS19","171019","ADAM metallopeptidase with thrombospondin type 1 motif 19",0.1465945870647,4.86735687919401,1.68992271766723,0.129545302498143,0.40038388835823,-5.30972135172196
