"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X",-0.931048303630772,7.60301747089867,-9.89917612947991,9.2117423508137e-06,1.30774073789767e-05,3.05895718463866
"2","1552296_at","BEST4","266675","bestrophin 4",-0.146835282223969,6.56852053269961,-1.3898818993969,0.202048899527976,0.208029118027988,-7.56992454142818
"3","1552299_at","AK9","221264","adenylate kinase 9",-1.06169415639721,6.07264214734996,-7.44337079160371,7.343868660889e-05,9.10581945071881e-05,0.75709682892839
"4","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase",0.495342713606069,5.76816342752231,5.87767786064425,0.000372216979065262,0.000431600561472456,-1.03249052613271
"5","1552321_a_at","CCDC65","85478","coiled-coil domain containing 65",-1.45542537520172,5.52811719323451,-6.73632513676481,0.000147696591170982,0.000177292147992964,-0.0148520102321079
"6","1552323_s_at","FAM122C","159091","family with sequence similarity 122C",0.206948021576164,6.15131057147875,2.40169147958507,0.0430889800283667,0.0451945966444337,-6.10121146763166
"7","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53",-1.2006538127892,5.93807968185735,-4.91994666224872,0.00116707057366935,0.00130728491529829,-2.28267098007749
"8","1552327_at","ARMCX4","100131755","armadillo repeat containing X-linked 4",-1.29023219195621,6.47263593272187,-17.9521222522464,9.60066583934456e-08,2.45940876046998e-07,8.12314857298855
"9","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase",-1.45947085459882,8.5168147404975,-20.2311908653114,3.76253789409394e-08,1.16861090750061e-07,9.15684261308396
"10","1552347_at","CRYZL1","9946","crystallin zeta like 1",-1.26195596339758,8.33039286183559,-19.0797354791109,5.95906700466398e-08,1.67856076440428e-07,8.64987692426842
"11","1552348_at","PRSS33","260429","serine protease 33",-2.8017779779561,8.46983312168272,-30.3217862961885,1.54006325187427e-09,9.98467743245991e-09,12.6440663247795
